epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,575.463,0.65891,0.39054,0.84549,0.67799,0.8189,0.74914,0.49843,0.98325,0.67757,0.97859,0.000756835,0.000756835,0.000756835
163,578.934,0.66027,0.38481,0.8408,0.74681,0.77007,0.75191,0.51035,0.99314,0.66646,0.98085,0.000754636,0.000754636,0.000754636
164,582.431,0.66447,0.38653,0.85184,0.74876,0.73405,0.73284,0.4778,0.99737,0.67833,0.98621,0.000752436,0.000752436,0.000752436
165,586.043,0.64718,0.38477,0.84633,0.76279,0.7717,0.77173,0.50498,0.98948,0.67093,0.993,0.000750236,0.000750236,0.000750236
166,589.496,0.66545,0.38623,0.84618,0.70119,0.81606,0.75722,0.50715,1.00009,0.65675,1.00154,0.000748036,0.000748036,0.000748036
167,592.961,0.65526,0.37962,0.85382,0.76553,0.75873,0.76421,0.51039,0.97148,0.63071,0.99019,0.000745837,0.000745837,0.000745837
168,596.467,0.65964,0.38183,0.84632,0.69115,0.8238,0.77055,0.52712,0.9815,0.66351,0.98969,0.000743637,0.000743637,0.000743637
169,600.105,0.66281,0.36972,0.84833,0.74529,0.77154,0.76236,0.51598,0.94636,0.69042,0.98567,0.000741437,0.000741437,0.000741437
170,603.602,0.64799,0.37093,0.85019,0.7988,0.697,0.7619,0.51749,0.95108,0.72102,0.97968,0.000739237,0.000739237,0.000739237
171,607.066,0.64823,0.3763,0.85366,0.76143,0.73539,0.74913,0.51974,0.94902,0.67416,0.97193,0.000737037,0.000737037,0.000737037
172,610.597,0.62824,0.3528,0.83817,0.74215,0.77925,0.78372,0.55572,0.95516,0.66665,0.9772,0.000734838,0.000734838,0.000734838
173,614.463,0.67752,0.38246,0.85403,0.76878,0.77874,0.7932,0.55152,0.95625,0.66666,0.97593,0.000732638,0.000732638,0.000732638
174,618.038,0.64518,0.37374,0.83898,0.77437,0.81116,0.79745,0.54948,0.95235,0.67886,0.97446,0.000730438,0.000730438,0.000730438
175,621.692,0.63263,0.36223,0.84094,0.7681,0.81306,0.80526,0.55391,0.95727,0.65034,0.97578,0.000728238,0.000728238,0.000728238
176,625.536,0.65933,0.37457,0.83967,0.74015,0.83038,0.8072,0.5564,0.97727,0.64551,0.97371,0.000726038,0.000726038,0.000726038
177,629.22,0.62951,0.36379,0.83697,0.73677,0.82828,0.8044,0.5491,0.96398,0.64223,0.97732,0.000723839,0.000723839,0.000723839
178,632.679,0.63239,0.36039,0.83735,0.73496,0.81249,0.78094,0.53494,0.95329,0.66818,0.97451,0.000721639,0.000721639,0.000721639
179,636.181,0.61639,0.35603,0.8275,0.77242,0.75229,0.77632,0.53068,0.94178,0.67202,0.9631,0.000719439,0.000719439,0.000719439
