epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,603.723,0.53386,0.31322,0.8231,0.78491,0.7476,0.75988,0.53026,0.97149,0.64165,0.97515,0.000181593,0.000181593,0.000181593
171,607.216,0.55158,0.32506,0.82807,0.78353,0.73854,0.76723,0.54111,0.96214,0.63095,0.97435,0.000176094,0.000176094,0.000176094
172,610.72,0.52849,0.30186,0.8172,0.78804,0.73182,0.76796,0.54208,0.95981,0.61911,0.96928,0.000170594,0.000170594,0.000170594
173,614.187,0.55589,0.32105,0.82566,0.78063,0.73791,0.76758,0.54157,0.95359,0.62872,0.9664,0.000165095,0.000165095,0.000165095
174,617.647,0.52687,0.3033,0.81483,0.77592,0.73219,0.76582,0.54297,0.94933,0.64216,0.96717,0.000159595,0.000159595,0.000159595
175,621.116,0.50892,0.2926,0.81468,0.744,0.74239,0.761,0.53404,0.95438,0.65958,0.96486,0.000154096,0.000154096,0.000154096
176,624.638,0.52926,0.30725,0.8161,0.73525,0.74952,0.76639,0.53275,0.95013,0.65687,0.96912,0.000148596,0.000148596,0.000148596
177,628.108,0.51464,0.2984,0.8154,0.7523,0.75034,0.77302,0.53845,0.95351,0.64765,0.97219,0.000143097,0.000143097,0.000143097
178,631.6,0.52327,0.29941,0.81558,0.75944,0.72998,0.76725,0.53305,0.95316,0.6416,0.97142,0.000137597,0.000137597,0.000137597
179,635.197,0.51759,0.29734,0.80831,0.77471,0.73775,0.77318,0.5379,0.94458,0.65126,0.96714,0.000132098,0.000132098,0.000132098
